,Word,Coefficient
19419,nigeria,0.49792413304469807
25261,self,0.45252566893057283
29286,tv,0.42801121994382046
15998,korea,0.42586315353766946
20135,olympics,0.42571648769058834
15843,kills,0.4116360026289435
26323,so,0.4112673587821257
29256,turn,0.3948549227946599
10874,fears,0.388555467831169
28274,territory,0.38403078231343185
25051,scotland,0.37857801811234143
28468,three,0.3752472743503931
7647,damascus,0.37346922329177495
13745,hospital,0.3729511286894257
25245,seize,0.371604017633338
6450,company,0.3710445951334209
5103,canadian,0.3707865095858127
6162,coast,0.3691745207267358
24526,rules,0.36540133894158444
31148,woman,0.3567661836178392
5295,cartel,0.3565818598077259
17251,mali,0.35554579022500704
16215,large,0.3546235425172821
22364,propaganda,0.3526052605697158
28183,television,0.34291452765887315
20888,past,0.34261566131012766
15335,jews,0.341678778985774
19260,network,0.3390996676817903
11654,french,0.33880301331259727
763,45,0.33835409723527815
